ID,Work Item Type,Title,Assigned To,State,Tags
"30","Epic","Foundation & Planning",,"New",
"29","Feature","Project Setup & Architecture",,"New",
"27","Feature","Authentication & User Management",,"New",
"28","Epic","Core Features Development",,"New",
"31","Feature","Team Management",,"New",
"12","User Story","CRUD Teams",,"New",
"13","Task","Create team endpoints",,"New",
"14","Task","Team listing & filtering",,"New",
"32","Feature","Assessment Framework",,"New",
"15","User Story","Assessment Framework CRUD",,"New",
"16","Task","Create assessment models",,"New",
"17","Task","Implement CRUD operations",,"New",
"42","Feature","Results & Analytics",,"New",
"18","User Story","Scoring Engine",,"New",
"19","Task","MBTI scoring",,"New",
"20","Task","Big Five scoring",,"New",
"21","Task","DISC scoring",,"New",
"43","Feature","Analytics Dashboard",,"New",
"22","User Story","Dashboard UI",,"New",
"23","Task","Build dashboard layout",,"New",
"24","Task","Create metric cards",,"New",
"25","Task","Responsive design",,"New",
"41","Feature","Team Optimization Engine",,"New",
"26","User Story","Recommendation Engine",,"New",
"33","Task","Compatibility analysis",,"New",
"34","Task","Role assignment suggestions",,"New",
"40","Epic","Enhancements & Integrations",,"New",
"39","Feature","Third-Party Integrations",,"New",
"35","User Story","Slack Integration",,"New",
"36","Task","Build Slack bot",,"New",
"37","Task","Implement slash commands",,"New",
"38","Feature","Mobile & PWA Support",,"New",
"44","User Story","Mobile Responsive UI",,"New",
"45","Task","Optimize components for mobile",,"New",
"46","Task","Touch-friendly UI",,"New",
"47","Feature","Security & Compliance",,"New",
"48","User Story","GDPR Compliance",,"New",
"49","Task","Data export",,"New",
"50","Task","Data deletion workflow",,"New",
"51","Epic","Testing & QA",,"New",
"52","Feature","Automated Testing",,"New",
"53","User Story","Backend Unit Tests",,"New",
"54","Task","Write unit tests",,"New",
"55","Task","Integration tests",,"New",
"56","Feature","Manual QA & UAT",,"New",
"57","User Story","Usability Testing",,"New",
"58","Task","Accessibility audits",,"New",
"59","Task","Beta user feedback",,"New",
"60","Epic","Deployment & Launch",,"New",
"61","Feature","Production Deployment",,"New",
"62","User Story","Infrastructure Deployment",,"New",
"63","Task","K8s cluster setup",,"New",
"64","Task","Monitoring & logging",,"New",
"65","Feature","Launch Preparation",,"New",
"66","User Story","Documentation Completion",,"New",
"67","Task","API documentation",,"New",
"68","Task","Deployment guides",,"New",
"69","Feature","Launch Execution",,"New",
"70","User Story","Go-Live",,"New",
"71","Task","Deploy to prod",,"New",
"72","Task","Monitor system performance",,"New",